id,HOTEL,OWNER,STREETNO1,STREET,STREETNO2,STREETNO3,POSTCODE,EASTING,GRADE,NORTHING,ROOMS
1,Premier Inn Edinburgh Park,Whitbread,1,Lochside Way,,,,318337,n/a,671350,120
2,Marriott Dalmahoy Hotel & Country Club,,,"Long Dalmahoy, Kirknewton",,,EH278EB,314388,4* HO,668725,203
3,Caledonian Hotel,Hilton,4,Lothian Road    (/Princes Street),,,EH12AB,324700,5* HO,673620,235
4,Glenisla Hotel,,12,Lygon Road,,,EH165QB,327023,3,670992,10
5,Thistle Hotel,,59,Manor Place,,,EH37EG,324080,3,673700,11
6,Ceilidh-Donia Hotel [formerly Marchhall Hotel],,14,Marchhall Crescent,-,16,EH165HL,327106,3,672057,17
7,St. Christopher's Inn [formerly Station Hotel],St. Christopher's Inns,9,Market Street,to,13,EH11DE,325762,n/a,673737,
8,Motel One,,18,Market Street / 6 Cockburn Street,to,21,EH11BL,325690,n/a,673712,208
9,Ivy Guest House,,7,Mayfield Gardens,,,EH92AX,326777,n/a,671797,8
10,Ben Doran Guest House,,11,Mayfield Gardens,,,EH92AX,326783,4*GH,671780,10
11,Allison House Hotel,,17,Mayfield Gardens,,,EH92AX,326798,4* GH,671757,11
12,Barony Guest House,,23,Mayfield Gardens,,,EH92BX,326847,4*GH,671670,9
13,Glenalmond Guest House,,25,Mayfield Gardens,,,EH92BX,326854,GH 4*,671654,10
14,Arrandale Guest House,,28,Mayfield Gardens,,,EH92BZ,326836,3*GH,671583,6
15,Alba Hills Guest House [formerly Rimswell House Hotel],,33,Mayfield Gardens,to,35,EH92BX,326887,n/a,671596,9
16,International Guest House,,37,Mayfield Gardens,,,EH92BX,326892,n/a,671583,9
17,Lauderville Guest House,,52,Mayfield Road,,,EH92NH,326561,n/a,671539,10
18,Best Western Kings Manor Hotel,S. Solley Hotels Ltd.,100,Milton Road East,,,EH152NP,331671,4,672924,95
19,Thrums Hotel,,14,Minto Street,to,15,EH91RQ,326654,3* GH,672014,14
20,Edinburgh's Minto Hotel,,16,Minto Street,to,18,EH99RQ,326679,3,671978,23
21,Ellwyn Hotel,,37,Moira Terrace,to,39,EH76TD,329209,n/a,674305,12
22,Premier Inn Edinburgh Haymarket,Whitbread Bowland Inns,1,Morrison Link,,,EH38DN,324283,n/a,673199,282
23,The Avenue Hotel,,4,Murrayfield Avenue,,,EH126AX,322832,2,673300,6
24,Craigelachie Hotel,,21,Murrayfield Avenue,,,EH126AU,322662,4* GH,673356,8
25,Beverley Hotel,,40,Murrayfield Avenue,,,EH126AY,322741,4* GH,673424,8
26,Holyrood Aparthotel,Hotel Connections,1,Nether Bakehouse,,,EH88PE,326530,4* SA,673707,40
27,Premier Inn Edinburgh Newcraighall,Whitbread Group,91,Newcraighall Road,,,EH16,331720,n/a,671860,42
28,Hawes Inn,Innkeeper's Lodge,,Newhalls Road,,,EH309TA,313537,1,678289,14
29,Premier Inn Edinburgh Leith,Whitbread Group,51,Newhaven Place,-,53,EH64TX,325527,n/a,677483,84
30,Southside Guest House,,8,Newington Road,,,EH91QS,326410,4* GH,672385,8
31,Barcelo Edinburgh Carlton Hotel,Dawnay Shore Hotels,19,North Bridge,,,EH11SD,325935,5,673762,189
32,Scotsman Hotel,,20,North Bridge,,,EH11TR,325865,n/a,673760,68
33,Holiday Inn Express,Holiday Inn / Somerston Hotels (Edinburgh Waterfront),101,Ocean Drive,,,EH66LA,326510,3* HO,676834,145
34,Arden Guest House,,126,Old Dalkeith Road,,,EH16  4SD,328338,n/a,670482,8
35,Aaron Lodge,,128,Old Dalkeith Road,,,EH164SD,328338,n/a,670480,10
36,West End Hotel,,37,Palmerston Place,,,EH125AU,324000,n/a,673625,8
37,Holiday Inn Express,,16,Picardy Place,to,22,EH13JT,326031,n/a,674430,150
38,Edinburgh House Hotel [formerly Balfour House Hotel],,92,Pilrig Street,,,EH65AY,326324,n/a,675471,24
39,Lindsay Guest House,,108,Polwarth Terrace,,,EH111NN,323519,3*GH,671637,7
40,Ard Na Said Guest House,,5,Priestfield Road,,,EH165HH,327142,4*GH,672005,6
41,Dorstan House Hotel,,7,Priestfield Road,,,EH165HJ,327177,3* GH,672030,14
42,Prestonfield House Hotel,,,Priestfield Road,,,EH165UT,327803,5* HO,672105,24
43,Balmoral Hotel,,1,Princes Street,,,EH22EQ,325820,5* HO,673954,168
44,Royal British Hotel,Cairn Hotel Group,20,Princes Street,,,EH22AN,325741,3,674004,72
45,Travelodge Edinburgh Central Princes Street,Arcadia Group Ltd.,30,Princes Street,-,31,EH22BY,325665,n/a,673978,95
46,Old Waverley Hotel,Paramount Hotel Group,42,Princes Street,to,44,EH22BY,325602,3* HO,673960,66
47,Robert Burns Hotel  [formerly at Craigalon House],,39,Abercorn Terrace,,,EH152DG,331156,n/a,673531,16
48,Royal Scots Club,,30,Abercromby Place,,,EH36QE,325308,3*HO,674353,25
49,Links Hotel,,4,Alvanley Terrace,-,6,EH91DU,324965,n/a,672264,22
50,Ardmillan Hotel [formerly Nirvana Hotel],,9,Ardmillan Terrace,to,10,EH112JW,323505,2* SH,672377,7
51,Travelodge Edinburgh West End [formerly Belford Hotel],Menzies Hotels plc / Travelodge,69,Belford Road,,,EH43DG,323766,4* HO,673728,173
52,Smart City Hostel,Europa Inns (UK) Ltd.,40,Blackfriars Street,to,50,EH11NE,326039,n/a,673550,49
53,Best Western Braid Hills Hotel,,134,Braid Road,,,EH106JD,324308,3* HO,669988,68
54,Staycity.com Edinburgh,AMA (New Town) Ltd.,9,Brandfield Street,",",13,EH38AS,324355,SA,672925,74
55,Mercure Point Hotel,,34,Bread Street,to,58,EH39AF,324946,3* HO,673167,139
56,Broughton Hotel,,37,Broughton Place,,,EH13RR,325972,3* GH,674624,6
57,No. 11 [formerly Clan Campbell Hotel],,11,Brunswick Street,,,EH75JB,326452,3* SH,674600,10
58,Best Western Bruntsfield Hotel,Queensferry Hotels,69,Bruntsfield Place,,,EH104HH,324768,4* HO,672336,74
59,Premier Inn Edinburgh South Queensferry [formerly Queen's Crossing (Travel Inn)],Whitbread Group,2,Builyeon Road,,,EH309--,312426,n/a,677705,40
60,Parliament House Hotel,Adam Hotels,15,Calton Hill,,,EH13BJ,326035,3* HO,674100,53
61,Canon Court Apartments,,20,Canonmills,,,EH35HA,325268,4* SA,675061,32
62,Castle View Guest House,,30,Castle Street,,,EH23HT,324993,3*GH,673883,18
63,The Witchery,,,"Castlehill, Royal Mile",,,EH12NF,325419,n/a,673502,8
64,Roxburghe Hotel,Paragon Hotels / Macdonald Hotels,38,Charlotte Square,,,EH24HG,324786,4* HO,673838,198
65,Chester Residence,,9,Chester Street,,,EH37RF,324170,SA 5*,673697,5
66,Claremont Hotel,,14,Claremont Crescent,to,15,EH74HX,325695,1* SH,675187,24
67,Best Western Edinburgh Capital,Portland Hotels,187,Clermiston Road,,,EH126UG,320193,3* HO,674390,111
68,Guards Hotel [formerly Clifton Private Hotel],,1,Clifton Terrace,,,EH125DR,324076,2,673261,11
69,West End Hostel,Shielcroft Ltd.,3,Clifton Terrace,to,4,EH125DR,324057,n/a,673248,8
70,Tune Hotel Edinburgh Haymarket,TP Hotel (Edinburgh) Ltd.,7,Clifton Terrace,-,8,EH12 5DR,324019,n/a,673236,179
71,Haymarket & Buchan Hotel,,1,Coates Gardens,-,3,EH125LG,323789,3* HO,673247,25
72,Piries Hotel,,4,Coates Gardens,to,8,EH125LB,323825,3* HO,673266,32
73,Boisdale Hotel,,9,Coates Gardens,,,EH125LG,323787,3* GH,673281,10
74,Lairg Hotel,,11,Coates Gardens,,,EH125LG,323788,3*GH,673293,10
75,Argus Hotel,,14,Coates Gardens,,,EH125LB,323824,3,673295,11
76,No. 32 [formerly Beresford Hotel],,32,Coates Gardens,,,EH125LE,323822,3* GH,673369,10
77,St Valery Guest House,,36,Coates Gardens,,,EH125LE,323822,n/a,673386,11
78,Edinburgh Backpackers Hostel,,65,Cockburn Street,,,EH11BU,325881,HS,673704,150
79,Kingsburgh House,,2,Corstorphine Road,,,EH126HN,322565,5*GH,673227,6
